Date,Price
2023-03-24,190.41000366210938
2023-03-27,191.80999755859375
2023-03-28,189.19000244140625
2023-03-29,193.8800048828125
2023-03-30,195.27999877929688
2023-03-31,207.4600067138672
2023-04-03,194.77000427246094
2023-04-04,192.5800018310547
2023-04-05,185.52000427246094
2023-04-06,185.05999755859375
2022-12-27,109.0999984741211
2022-12-28,112.70999908447266
2022-12-29,121.81999969482422
2022-12-30,123.18000030517578
2023-01-03,108.0999984741211
2023-01-04,113.63999938964844
2023-01-05,110.33999633789062
2023-01-06,113.05999755859375
2022-09-23,275.3299865722656
2022-09-26,276.010009765625
2022-09-27,282.94000244140625
2022-09-28,287.80999755859375
2022-09-29,268.2099914550781
2022-09-30,265.25
2022-10-03,242.39999389648438
2022-10-04,249.44000244140625
2022-10-05,240.80999755859375
2022-10-06,238.1300048828125
2022-06-23,235.07000732421875
2022-06-24,245.7066650390625
2022-06-27,244.9199981689453
2022-06-28,232.663330078125
2022-06-29,228.49000549316406
2022-06-30,224.47332763671875
2022-07-01,227.26333618164062
2022-07-05,233.06666564941406
2022-07-06,231.73333740234375
2022-03-24,337.97332763671875
2022-03-25,336.8800048828125
2022-03-28,363.9466552734375
2022-03-29,366.5233459472656
2022-03-30,364.663330078125
2022-03-31,359.20001220703125
2022-04-01,361.5299987792969
2022-04-04,381.8166809082031
2022-04-05,363.7533264160156
2022-04-06,348.586669921875
2021-12-27,364.64666748046875
2021-12-28,362.8233337402344
2021-12-29,362.0633239746094
2021-12-30,356.7799987792969
2021-12-31,352.260009765625
2022-01-03,399.9266662597656
2022-01-04,383.1966552734375
2022-01-05,362.7066650390625
2022-01-06,354.8999938964844
2021-09-23,251.2133331298828
2021-09-24,258.1300048828125
2021-09-27,263.78668212890625
2021-09-28,259.1866760253906
2021-09-29,260.4366760253906
2021-09-30,258.49334716796875
2021-10-01,258.40667724609375
2021-10-04,260.510009765625
2021-10-05,260.1966552734375
2021-10-06,260.9166564941406
2021-06-23,218.85667419433594
2021-06-24,226.60667419433594
2021-06-25,223.9566650390625
2021-06-28,229.57333374023438
2021-06-29,226.9199981689453
2021-06-30,226.56666564941406
2021-07-01,225.97332763671875
2021-07-02,226.3000030517578
2021-07-06,219.86000061035156
2021-03-24,210.08999633789062
2021-03-25,213.4633331298828
2021-03-26,206.23666381835938
2021-03-29,203.76333618164062
2021-03-30,211.8733367919922
2021-03-31,222.64332580566406
2021-04-01,220.5833282470703
2021-04-05,230.35000610351562
2021-04-06,230.5399932861328
2020-12-24,220.58999633789062
2020-12-28,221.22999572753906
2020-12-29,221.99667358398438
2020-12-30,231.5933380126953
2020-12-31,235.22332763671875
2021-01-04,243.2566680908203
2021-01-05,245.0366668701172
2021-01-06,251.9933319091797
2020-09-23,126.78666687011719
2020-09-24,129.26333618164062
2020-09-25,135.77999877929688
2020-09-28,140.39999389648438
2020-09-29,139.69000244140625
2020-09-30,143.00332641601562
2020-10-01,149.3866729736328
2020-10-02,138.3633270263672
2020-10-05,141.89332580566406
2020-10-06,137.9933319091797
2020-06-23,66.78533172607422
2020-06-24,64.0566635131836
2020-06-25,65.73200225830078
2020-06-26,63.982666015625
2020-06-29,67.29000091552734
2020-06-30,71.98733520507812
2020-07-01,74.64199829101562
2020-07-02,80.57733154296875
2020-07-06,91.43866729736328
2020-03-24,33.66666793823242
2020-03-25,35.95000076293945
2020-03-26,35.21066665649414
2020-03-27,34.29066848754883
2020-03-30,33.47533416748047
2020-03-31,34.93333435058594
2020-04-01,32.104000091552734
2020-04-02,30.29800033569336
2020-04-03,32.000667572021484
2020-04-06,34.41600036621094
2019-12-24,28.350000381469727
2019-12-26,28.729333877563477
2019-12-27,28.691999435424805
2019-12-30,27.64666748046875
2019-12-31,27.8886661529541
2020-01-02,28.68400001525879
2020-01-03,29.534000396728516
2020-01-06,30.1026668548584
2019-09-23,16.082000732421875
2019-09-24,14.880666732788086
2019-09-25,15.24666690826416
2019-09-26,16.17066764831543
2019-09-27,16.142000198364258
2019-09-30,16.058000564575195
2019-10-01,16.312667846679688
2019-10-02,16.208667755126953
2019-10-03,15.535332679748535
2019-10-04,15.428667068481445
2019-06-24,14.909333229064941
2019-06-25,14.650667190551758
2019-06-26,14.618000030517578
2019-06-27,14.855999946594238
2019-06-28,14.897333145141602
2019-07-01,15.14466667175293
2019-07-02,14.970000267028809
2019-07-03,15.65999984741211
2019-07-05,15.539999961853027
2019-03-25,17.3613338470459
2019-03-26,17.851333618164062
2019-03-27,18.32200050354004
2019-03-28,18.57466697692871
2019-03-29,18.657333374023438
2019-04-01,19.278667449951172
2019-04-02,19.058666229248047
2019-04-03,19.45400047302246
2019-04-04,17.851999282836914
2019-04-05,18.33066749572754
2018-12-24,19.69266700744629
2018-12-26,21.73933219909668
2018-12-27,21.075332641601562
2018-12-28,22.257999420166016
2018-12-31,22.18666648864746
2019-01-02,20.674667358398438
2019-01-03,20.02400016784668
2019-01-04,21.179332733154297
2018-09-24,19.978666305541992
2018-09-25,20.06599998474121
2018-09-26,20.6386661529541
2018-09-27,20.501333236694336
2018-09-28,17.65133285522461
2018-10-01,20.713333129882812
2018-10-02,20.06800079345703
2018-10-03,19.65333366394043
2018-10-04,18.788667678833008
2018-10-05,17.463333129882812
2018-06-25,22.200666427612305
2018-06-26,22.799999237060547
2018-06-27,22.96666717529297
2018-06-28,23.32866668701172
2018-06-29,22.863332748413086
2018-07-02,22.33799934387207
2018-07-03,20.724000930786133
2018-07-05,20.610666275024414
2018-07-06,20.593332290649414
