date,RIV,isPartial
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,72,False
2020-03-29,77,False
2020-04-05,71,False
2020-04-12,69,False
2020-04-19,69,False
2020-04-26,68,False
2020-05-03,72,False
2020-05-10,70,False
2020-05-17,69,False
2020-05-24,72,False
2020-05-31,71,False
2020-06-07,70,False
2020-06-14,71,False
2020-06-21,67,False
2020-06-28,76,False
2020-07-05,78,False
2020-07-12,76,False
2020-07-19,68,False
2020-07-26,67,False
2020-08-02,73,False
2020-08-09,67,False
2020-08-16,70,False
2020-08-23,67,False
2020-08-30,69,False
2020-09-06,68,False
2020-09-13,70,False
2020-09-20,64,False
2020-09-27,66,False
2020-10-04,62,False
2020-10-11,68,False
2020-10-18,68,False
2020-10-25,62,False
2020-11-01,57,False
2020-11-08,63,False
2020-11-15,69,False
2020-11-22,64,False
2020-11-29,65,False
2020-12-06,76,False
2020-12-13,69,False
2020-12-20,77,False
2020-12-27,65,False
2021-01-03,69,False
2021-01-10,73,False
2021-01-17,74,False
2021-01-24,68,False
2021-01-31,66,False
2021-02-07,70,False
2021-02-14,67,False
2021-02-21,68,False
2021-02-28,67,False
2021-03-07,66,False
2021-03-14,63,False
2021-03-21,68,False
2021-03-28,63,False
2021-04-04,69,False
2021-04-11,75,False
2021-04-18,70,False
2021-04-25,63,False
2021-05-02,66,False
2021-05-09,68,False
2021-05-16,70,False
2021-05-23,69,False
2021-05-30,67,False
2021-06-06,63,False
2021-06-13,70,False
2021-06-20,73,False
2021-06-27,65,False
2021-07-04,69,False
2021-07-11,67,False
2021-07-18,69,False
2021-07-25,69,False
2021-08-01,71,False
2021-08-08,68,False
2021-08-15,67,False
2021-08-22,75,False
2021-08-29,73,False
2021-09-05,70,False
2021-09-12,70,False
2021-09-19,72,False
2021-09-26,74,False
2021-10-03,72,False
2021-10-10,69,False
2021-10-17,84,False
2021-10-24,69,False
2021-10-31,77,False
2021-11-07,76,False
2021-11-14,73,False
2021-11-21,73,False
2021-11-28,71,False
2021-12-05,77,False
2021-12-12,83,False
2021-12-19,100,False
2021-12-26,93,False
2022-01-02,96,False
2022-01-09,80,False
2022-01-16,74,False
2022-01-23,72,False
2022-01-30,87,False
2022-02-06,78,False
2022-02-13,78,False
2022-02-20,80,False
2022-02-27,79,False
2022-03-06,74,False
2022-03-13,82,False
2022-03-20,85,False
2022-03-27,81,False
2022-04-03,75,False
2022-04-10,74,False
2022-04-17,84,False
2022-04-24,76,False
2022-05-01,79,False
2022-05-08,82,False
2022-05-15,80,False
2022-05-22,78,False
2022-05-29,77,False
2022-06-05,72,False
2022-06-12,76,False
2022-06-19,70,False
2022-06-26,75,False
2022-07-03,76,False
2022-07-10,67,False
2022-07-17,69,False
2022-07-24,68,False
2022-07-31,70,False
2022-08-07,69,False
2022-08-14,69,False
2022-08-21,69,False
2022-08-28,67,False
2022-09-04,72,False
2022-09-11,66,False
2022-09-18,74,False
2022-09-25,66,False
2022-10-02,71,False
2022-10-09,81,False
2022-10-16,74,False
2022-10-23,72,False
2022-10-30,66,False
2022-11-06,66,False
2022-11-13,72,False
2022-11-20,65,False
2022-11-27,66,False
2022-12-04,62,False
2022-12-11,71,False
2022-12-18,69,False
2022-12-25,77,False
2023-01-01,68,False
2023-01-08,66,False
2023-01-15,69,False
2023-01-22,65,False
2023-01-29,63,False
2023-02-05,72,False
2023-02-12,72,False
2023-02-19,67,False
2023-02-26,72,False
2023-03-05,71,False
2023-03-12,69,False
2023-03-19,72,False
2023-03-26,74,False
2023-04-02,65,False
2023-04-09,72,False
2023-04-16,70,False
2023-04-23,77,False
2023-04-30,65,False
2023-05-07,63,False
2023-05-14,70,False
2023-05-21,65,False
2023-05-28,66,False
2023-06-04,72,False
2023-06-11,70,False
2023-06-18,73,False
2023-06-25,83,False
2023-07-02,77,False
2023-07-09,73,True
